execution,grade,current_time,student_signature_class,issuer_signature_class,decision_trace_id,transition_sequence,final_classification,final_outcome,enabled_bindings_at_end,active_unfinished,retained_references,violated_properties
inter_VP_wallet_g2_s2,80,0,valid,valid,inter_VP_wallet_g2_s2,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g2_s3,80,0,valid,valid,inter_VP_wallet_g2_s3,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_GenerateVP;HRAgent.t_ParseVP;WalletNet.t_ShareVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g2_s4,80,0,valid,valid,inter_VP_wallet_g2_s4,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_GenerateVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_ShareVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g2_s5,80,0,valid,valid,inter_VP_wallet_g2_s5,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_GenerateVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_ShareVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g2_s6,80,0,valid,valid,inter_VP_wallet_g2_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_GenerateVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g2_s7,80,0,valid,valid,inter_VP_wallet_g2_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;WalletNet.t_GenerateVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g3_s3,80,0,valid,valid,inter_VP_wallet_g3_s3,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g3_s4,80,0,valid,valid,inter_VP_wallet_g3_s4,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_GenerateVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_ShareVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g3_s5,80,0,valid,valid,inter_VP_wallet_g3_s5,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_GenerateVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_ShareVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g3_s6,80,0,valid,valid,inter_VP_wallet_g3_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_GenerateVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g3_s7,80,0,valid,valid,inter_VP_wallet_g3_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;WalletNet.t_GenerateVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g4_s4,80,0,valid,valid,inter_VP_wallet_g4_s4,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g4_s5,80,0,valid,valid,inter_VP_wallet_g4_s5,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_GenerateVP;HRAgent.t_SemanticMatch;WalletNet.t_ShareVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g4_s6,80,0,valid,valid,inter_VP_wallet_g4_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_GenerateVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g4_s7,80,0,valid,valid,inter_VP_wallet_g4_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;WalletNet.t_GenerateVP;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g5_s5,80,0,valid,valid,inter_VP_wallet_g5_s5,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g5_s6,80,0,valid,valid,inter_VP_wallet_g5_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_GenerateVP;HRAgent.t_GapAnalysis;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g5_s7,80,0,valid,valid,inter_VP_wallet_g5_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;WalletNet.t_GenerateVP;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g6_s6,80,0,valid,valid,inter_VP_wallet_g6_s6,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_GenerateVP;WalletNet.t_ShareVP;HRAgent.t_GenerateResult,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g6_s7,80,0,valid,valid,inter_VP_wallet_g6_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;WalletNet.t_GenerateVP;HRAgent.t_GenerateResult;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
inter_VP_wallet_g7_s7,80,0,valid,valid,inter_VP_wallet_g7_s7,StudentAgent.t_SubmitEvidence;EvidenceNet.t_LMS_Submit;EvidenceNet.t_Review_Request;ProfessorAgent.t_StartReview;ProfessorAgent.t_AssessEvidence;ProfessorAgent.t_ApproveEvidence;UniversityAgent.t_VerifyEvidence;UniversityAgent.t_RequestCredential;CompetencyNet.t_Verification_Pass;UniversityAgent.t_IssueCredential;StudentAgent.t_WaitCredential;StudentAgent.t_ReceiveCredential;StudentAgent.t_AcceptCredential;HEDULedgerNet.t_Order;HEDULedgerNet.t_Validate;HEDULedgerNet.t_Commit;HEDULedgerNet.t_Anchor;StudentAgent.t_GenerateVP;StudentAgent.t_ShareVP;HRAgent.t_ParseVP;CompetencyNet.t_Agg_Ingest;HRAgent.t_SemanticMatch;HRAgent.t_GapAnalysis;HRAgent.t_GenerateResult;WalletNet.t_GenerateVP;WalletNet.t_ShareVP,EXPECTED_SUCCESS_TERMINATION,SUCCESS,0,0,11/11,
